127.0.0.1 - - [27/Oct/2016:20:04:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:04:08 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:05:35 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:05:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:13:56 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:15:43 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:16:06 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:20:06 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:20:16 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:20:17 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:21:34 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:21:42 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:21:48 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:22:21 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:24:42 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:34:09 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:34:20 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3776
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:34:33 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:44:46 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:44:54 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:45:01 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:47:41 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:47:45 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:53:31 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:57:04 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:57:26 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:57:26 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:57:33 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [27/Oct/2016:20:57:36 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:00:18 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:00:20 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:25 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:26 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:26 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:26 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:26 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:27 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:27 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:27 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:27 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:27 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:03:28 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:06:07 +0530] "GET /StarkartFrontend/index.jsp HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:06:16 +0530] "GET /StarkartFrontend/ HTTP/1.1" 200 3374
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:06:22 +0530] "GET /StarkartFrontend/login HTTP/1.1" 200 3831
0:0:0:0:0:0:0:1 - - [27/Oct/2016:21:06:27 +0530] "GET /StarkartFrontend/register HTTP/1.1" 200 6805
